I 06.28/02:22:06 main.py:23  ] => Experiment directory: /storage/hujiacong/zxd/Huawei/UniversalCSI/exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-3/mlp/code1e-3_fc1e-3_lr2e-4/enc_seed2026_dec_seed42
I 06.28/02:22:06 main.py:24  ] => PyTorch Version: 2.5.1
I 06.28/02:22:06 init.py:13  ] Random seed set to 2026
I 06.28/02:22:07 init.py:92  ] Running on GPU 4
I 06.28/02:22:10 init.py:132 ] pretrained decoder loaded and frozen from exps/COST2100/in/encoder_canonical/aux_pca_1e-3/seed42_transnet_transnet/checkpoints/best_nmse.pth
I 06.28/02:22:10 init.py:139 ] pretrained encoder loaded and frozen from exps/COST2100/in/encoder_canonical/aux_pca_1e-3/seed2026_transnet_transnet/checkpoints/best_nmse.pth
I 06.28/02:22:12 init.py:152 ] => Model Name: UniversalCSI [pretrained: None; pretrained_decoder: exps/COST2100/in/encoder_canonical/aux_pca_1e-3/seed42_transnet_transnet/checkpoints/best_nmse.pth; pretrained_encoder: exps/COST2100/in/encoder_canonical/aux_pca_1e-3/seed2026_transnet_transnet/checkpoints/best_nmse.pth; adapter: mlp; adapter_hidden_dim: 2048; canonical_head: none; canonical_anchor_seed: 0]
I 06.28/02:22:12 init.py:159 ] => Model Config: compression ratio=1/4; encoder=transnet; decoder=transnet; input shape=(2, 32, 32); input dim=2048
I 06.28/02:22:12 init.py:164 ] => Model Flops: 3.7841e+01M
I 06.28/02:22:12 init.py:165 ] => Model Params Num: 5.2589e+00M

I 06.28/02:22:12 init.py:166 ] 
**********
UniversalCSIModel(
  (encoder): TransNetEncoder(
    (encoder): TransformerEncoder(
      (layers): ModuleList(
        (0-1): 2 x TransformerEncoderLayer(
          (self_attn): MultiheadAttention(
            (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
          )
          (linear1): Linear(in_features=64, out_features=2048, bias=True)
          (dropout): Dropout(p=0.0, inplace=False)
          (linear2): Linear(in_features=2048, out_features=64, bias=True)
          (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (dropout1): Dropout(p=0.0, inplace=False)
          (dropout2): Dropout(p=0.0, inplace=False)
        )
      )
    )
    (fc): Linear(in_features=2048, out_features=512, bias=True)
  )
  (decoder): TransNetDecoder(
    (fc_decoder): Linear(in_features=512, out_features=2048, bias=True)
    (decoder): TransformerDecoder(
      (layers): ModuleList(
        (0-1): 2 x TransformerDecoderLayer(
          (self_attn): MultiheadAttention(
            (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
          )
          (multihead_attn): MultiheadAttention(
            (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
          )
          (linear1): Linear(in_features=64, out_features=2048, bias=True)
          (dropout): Dropout(p=0.0, inplace=False)
          (linear2): Linear(in_features=2048, out_features=64, bias=True)
          (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (norm3): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (dropout1): Dropout(p=0.0, inplace=False)
          (dropout2): Dropout(p=0.0, inplace=False)
          (dropout3): Dropout(p=0.0, inplace=False)
        )
      )
      (norm): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
    )
  )
  (code_adapter): MLPAdapter(
    (norm): LayerNorm((512,), eps=1e-05, elementwise_affine=True)
    (mlp): Sequential(
      (0): Linear(in_features=512, out_features=2048, bias=True)
      (1): GELU(approximate='none')
      (2): Linear(in_features=2048, out_features=512, bias=True)
    )
  )
)
**********

I 06.28/02:22:12 init.py:33  ] 
decoder.decoder.layers.1.norm2.weight                             False          (64,)
decoder.decoder.layers.1.norm2.bias                               False          (64,)
decoder.decoder.layers.1.norm3.weight                             False          (64,)
decoder.decoder.layers.1.norm3.bias                               False          (64,)
decoder.decoder.norm.weight                                       False          (64,)
decoder.decoder.norm.bias                                         False          (64,)
code_adapter.norm.weight                                          True          (512,)
code_adapter.norm.bias                                            True          (512,)
code_adapter.mlp.0.weight                                         True     (2048, 512)
code_adapter.mlp.0.bias                                           True         (2048,)
code_adapter.mlp.2.weight                                         True     (512, 2048)
code_adapter.mlp.2.bias                                           True          (512,)
**********
I 06.28/02:22:12 main.py:53  ] => Before-train evaluation (frozen encoder + decoder + untrained adapter):
I 06.28/02:22:13 solver.py:548 ] [20/79] loss: 1.1198e-03 | NMSE: 3.9388e+00 | time: 0.051
I 06.28/02:22:14 solver.py:548 ] [40/79] loss: 1.1202e-03 | NMSE: 3.9378e+00 | time: 0.045
I 06.28/02:22:15 solver.py:548 ] [60/79] loss: 1.1200e-03 | NMSE: 3.9474e+00 | time: 0.042
I 06.28/02:22:15 solver.py:562 ] => Test NMSE: 3.9396e+00 | adapter/W1_norm=6.1319e+01 | adapter/W1_mean=5.0671e-05 | adapter/W1_std=5.9882e-02 | adapter/W2_norm=0.0000e+00 | adapter/W2_mean=0.0000e+00 | adapter/W2_std=0.0000e+00 | adapter/delta_ratio=0.0000e+00

I 06.28/02:22:15 solver.py:513 ] 
=> Test result: 
loss: 1.1190e-03    NMSE: 3.9396e+00

I 06.28/02:22:16 solver.py:359 ] => Loading teacher codewords from exps/COST2100/in/encoder_canonical/aux_pca_1e-3/seed42_transnet_transnet/codewords/train_code.pt
I 06.28/02:22:16 solver.py:365 ] => Loaded teacher codewords: torch.Size([100000, 512])
I 06.28/02:22:18 solver.py:282 ] Epoch: [1/400][20/391] lr: 2.56e-07 | recon: 1.1173e-03 code: 2.2722e-01 fc: 1.0193e+00 total: 2.3639e-03 | time: 0.059
I 06.28/02:22:18 solver.py:282 ] Epoch: [1/400][40/391] lr: 5.12e-07 | recon: 1.1157e-03 code: 2.2509e-01 fc: 1.0090e+00 total: 2.3498e-03 | time: 0.049
I 06.28/02:22:19 solver.py:282 ] Epoch: [1/400][60/391] lr: 7.67e-07 | recon: 1.1070e-03 code: 2.2293e-01 fc: 9.9854e-01 total: 2.3284e-03 | time: 0.045
I 06.28/02:22:20 solver.py:282 ] Epoch: [1/400][80/391] lr: 1.02e-06 | recon: 1.0950e-03 code: 2.1894e-01 fc: 9.7942e-01 total: 2.2933e-03 | time: 0.043
I 06.28/02:22:21 solver.py:282 ] Epoch: [1/400][100/391] lr: 1.28e-06 | recon: 1.0794e-03 code: 2.1336e-01 fc: 9.5284e-01 total: 2.2457e-03 | time: 0.042
I 06.28/02:22:21 solver.py:282 ] Epoch: [1/400][120/391] lr: 1.53e-06 | recon: 1.0579e-03 code: 2.0645e-01 fc: 9.1997e-01 total: 2.1843e-03 | time: 0.041
I 06.28/02:22:22 solver.py:282 ] Epoch: [1/400][140/391] lr: 1.79e-06 | recon: 1.0261e-03 code: 1.9809e-01 fc: 8.8043e-01 total: 2.1046e-03 | time: 0.043
I 06.28/02:22:23 solver.py:282 ] Epoch: [1/400][160/391] lr: 2.05e-06 | recon: 9.8273e-04 code: 1.8843e-01 fc: 8.3490e-01 total: 2.0061e-03 | time: 0.042
I 06.28/02:22:24 solver.py:282 ] Epoch: [1/400][180/391] lr: 2.30e-06 | recon: 9.3189e-04 code: 1.7814e-01 fc: 7.8643e-01 total: 1.8965e-03 | time: 0.043
I 06.28/02:22:25 solver.py:282 ] Epoch: [1/400][200/391] lr: 2.56e-06 | recon: 8.7849e-04 code: 1.6787e-01 fc: 7.3804e-01 total: 1.7844e-03 | time: 0.043
I 06.28/02:22:26 solver.py:282 ] Epoch: [1/400][220/391] lr: 2.81e-06 | recon: 8.2457e-04 code: 1.5787e-01 fc: 6.9095e-01 total: 1.6734e-03 | time: 0.044
I 06.28/02:22:27 solver.py:282 ] Epoch: [1/400][240/391] lr: 3.07e-06 | recon: 7.7378e-04 code: 1.4852e-01 fc: 6.4676e-01 total: 1.5691e-03 | time: 0.044
I 06.28/02:22:28 solver.py:282 ] Epoch: [1/400][260/391] lr: 3.32e-06 | recon: 7.2685e-04 code: 1.3990e-01 fc: 6.0595e-01 total: 1.4727e-03 | time: 0.044
I 06.28/02:22:29 solver.py:282 ] Epoch: [1/400][280/391] lr: 3.58e-06 | recon: 6.8417e-04 code: 1.3210e-01 fc: 5.6896e-01 total: 1.3852e-03 | time: 0.043
I 06.28/02:22:30 solver.py:282 ] Epoch: [1/400][300/391] lr: 3.84e-06 | recon: 6.4538e-04 code: 1.2507e-01 fc: 5.3561e-01 total: 1.3061e-03 | time: 0.043
I 06.28/02:22:30 solver.py:282 ] Epoch: [1/400][320/391] lr: 4.09e-06 | recon: 6.1034e-04 code: 1.1874e-01 fc: 5.0555e-01 total: 1.2346e-03 | time: 0.043
I 06.28/02:22:31 solver.py:282 ] Epoch: [1/400][340/391] lr: 4.35e-06 | recon: 5.7868e-04 code: 1.1306e-01 fc: 4.7865e-01 total: 1.1704e-03 | time: 0.043
I 06.28/02:22:32 solver.py:282 ] Epoch: [1/400][360/391] lr: 4.60e-06 | recon: 5.5007e-04 code: 1.0795e-01 fc: 4.5450e-01 total: 1.1125e-03 | time: 0.043
I 06.28/02:22:33 solver.py:282 ] Epoch: [1/400][380/391] lr: 4.86e-06 | recon: 5.2406e-04 code: 1.0333e-01 fc: 4.3277e-01 total: 1.0602e-03 | time: 0.042
I 06.28/02:22:33 solver.py:318 ] => Train  Recon loss: 5.1078e-04 | Code loss: 1.0098e-01 | FC loss: 4.2176e-01 | Total: 1.0335e-03 | adapter/W1_norm=6.1487e+01 | adapter/W1_mean=4.4730e-05 | adapter/W1_std=6.0046e-02 | adapter/W2_norm=5.2104e-01 | adapter/W2_mean=5.0476e-04 | adapter/W2_std=6.4210e-05 | adapter/delta_ratio=7.0593e-01

I 06.28/02:22:34 solver.py:282 ] Epoch: [2/400][20/391] lr: 5.26e-06 | recon: 5.0103e-05 code: 1.9737e-02 fc: 4.2059e-02 total: 1.1190e-04 | time: 0.041
I 06.28/02:22:35 solver.py:282 ] Epoch: [2/400][40/391] lr: 5.51e-06 | recon: 4.6952e-05 code: 1.9187e-02 fc: 4.0630e-02 total: 1.0677e-04 | time: 0.046
I 06.28/02:22:36 solver.py:282 ] Epoch: [2/400][60/391] lr: 5.77e-06 | recon: 4.5506e-05 code: 1.9047e-02 fc: 4.1119e-02 total: 1.0567e-04 | time: 0.044
I 06.28/02:22:37 solver.py:282 ] Epoch: [2/400][80/391] lr: 6.02e-06 | recon: 4.3761e-05 code: 1.8813e-02 fc: 4.1041e-02 total: 1.0362e-04 | time: 0.042
I 06.28/02:22:38 solver.py:282 ] Epoch: [2/400][100/391] lr: 6.28e-06 | recon: 4.2896e-05 code: 1.8667e-02 fc: 4.1237e-02 total: 1.0280e-04 | time: 0.043
I 06.28/02:22:39 solver.py:282 ] Epoch: [2/400][120/391] lr: 6.53e-06 | recon: 4.1871e-05 code: 1.8426e-02 fc: 4.0924e-02 total: 1.0122e-04 | time: 0.045
I 06.28/02:22:39 solver.py:282 ] Epoch: [2/400][140/391] lr: 6.79e-06 | recon: 4.0854e-05 code: 1.8233e-02 fc: 4.0762e-02 total: 9.9849e-05 | time: 0.043
I 06.28/02:22:40 solver.py:282 ] Epoch: [2/400][160/391] lr: 7.05e-06 | recon: 4.0100e-05 code: 1.8056e-02 fc: 4.0562e-02 total: 9.8718e-05 | time: 0.043
I 06.28/02:22:41 solver.py:282 ] Epoch: [2/400][180/391] lr: 7.30e-06 | recon: 3.9460e-05 code: 1.7917e-02 fc: 4.0513e-02 total: 9.7890e-05 | time: 0.044
I 06.28/02:22:42 solver.py:282 ] Epoch: [2/400][200/391] lr: 7.56e-06 | recon: 3.8682e-05 code: 1.7720e-02 fc: 4.0201e-02 total: 9.6602e-05 | time: 0.043
I 06.28/02:22:43 solver.py:282 ] Epoch: [2/400][220/391] lr: 7.81e-06 | recon: 3.7979e-05 code: 1.7557e-02 fc: 3.9934e-02 total: 9.5470e-05 | time: 0.044
I 06.28/02:22:44 solver.py:282 ] Epoch: [2/400][240/391] lr: 8.07e-06 | recon: 3.7456e-05 code: 1.7398e-02 fc: 3.9722e-02 total: 9.4576e-05 | time: 0.043
I 06.28/02:22:44 solver.py:282 ] Epoch: [2/400][260/391] lr: 8.32e-06 | recon: 3.7077e-05 code: 1.7269e-02 fc: 3.9547e-02 total: 9.3894e-05 | time: 0.043
I 06.28/02:22:45 solver.py:282 ] Epoch: [2/400][280/391] lr: 8.58e-06 | recon: 3.6568e-05 code: 1.7131e-02 fc: 3.9319e-02 total: 9.3018e-05 | time: 0.043
I 06.28/02:22:46 solver.py:282 ] Epoch: [2/400][300/391] lr: 8.84e-06 | recon: 3.6081e-05 code: 1.6998e-02 fc: 3.9108e-02 total: 9.2188e-05 | time: 0.043
I 06.28/02:22:47 solver.py:282 ] Epoch: [2/400][320/391] lr: 9.09e-06 | recon: 3.5701e-05 code: 1.6875e-02 fc: 3.8908e-02 total: 9.1485e-05 | time: 0.043
I 06.28/02:22:48 solver.py:282 ] Epoch: [2/400][340/391] lr: 9.35e-06 | recon: 3.5272e-05 code: 1.6750e-02 fc: 3.8692e-02 total: 9.0714e-05 | time: 0.043
I 06.28/02:22:49 solver.py:282 ] Epoch: [2/400][360/391] lr: 9.60e-06 | recon: 3.4875e-05 code: 1.6630e-02 fc: 3.8471e-02 total: 8.9976e-05 | time: 0.042
I 06.28/02:22:49 solver.py:282 ] Epoch: [2/400][380/391] lr: 9.86e-06 | recon: 3.4494e-05 code: 1.6505e-02 fc: 3.8241e-02 total: 8.9241e-05 | time: 0.043
I 06.28/02:22:50 solver.py:318 ] => Train  Recon loss: 3.4306e-05 | Code loss: 1.6436e-02 | FC loss: 3.8093e-02 | Total: 8.8835e-05 | adapter/W1_norm=6.1524e+01 | adapter/W1_mean=2.7324e-05 | adapter/W1_std=6.0082e-02 | adapter/W2_norm=5.6230e-01 | adapter/W2_mean=5.3349e-04 | adapter/W2_std=1.3011e-04 | adapter/delta_ratio=7.4921e-01

I 06.28/02:22:51 solver.py:282 ] Epoch: [3/400][20/391] lr: 1.03e-05 | recon: 2.5991e-05 code: 1.3796e-02 fc: 3.2570e-02 total: 7.2357e-05 | time: 0.043
I 06.28/02:22:52 solver.py:282 ] Epoch: [3/400][40/391] lr: 1.05e-05 | recon: 2.6047e-05 code: 1.3718e-02 fc: 3.2291e-02 total: 7.2055e-05 | time: 0.045
I 06.28/02:22:52 solver.py:282 ] Epoch: [3/400][60/391] lr: 1.08e-05 | recon: 2.6068e-05 code: 1.3661e-02 fc: 3.2228e-02 total: 7.1958e-05 | time: 0.043
I 06.28/02:22:53 solver.py:282 ] Epoch: [3/400][80/391] lr: 1.10e-05 | recon: 2.5634e-05 code: 1.3475e-02 fc: 3.1639e-02 total: 7.0749e-05 | time: 0.045
I 06.28/02:22:54 solver.py:282 ] Epoch: [3/400][100/391] lr: 1.13e-05 | recon: 2.5374e-05 code: 1.3361e-02 fc: 3.1296e-02 total: 7.0032e-05 | time: 0.042
I 06.28/02:22:55 solver.py:282 ] Epoch: [3/400][120/391] lr: 1.15e-05 | recon: 2.5031e-05 code: 1.3222e-02 fc: 3.0885e-02 total: 6.9138e-05 | time: 0.042
I 06.28/02:22:56 solver.py:282 ] Epoch: [3/400][140/391] lr: 1.18e-05 | recon: 2.4777e-05 code: 1.3094e-02 fc: 3.0531e-02 total: 6.8401e-05 | time: 0.041
I 06.28/02:22:56 solver.py:282 ] Epoch: [3/400][160/391] lr: 1.20e-05 | recon: 2.4562e-05 code: 1.2966e-02 fc: 3.0151e-02 total: 6.7679e-05 | time: 0.041
I 06.28/02:22:57 solver.py:282 ] Epoch: [3/400][180/391] lr: 1.23e-05 | recon: 2.4327e-05 code: 1.2847e-02 fc: 2.9794e-02 total: 6.6968e-05 | time: 0.041
I 06.28/02:22:58 solver.py:282 ] Epoch: [3/400][200/391] lr: 1.26e-05 | recon: 2.4095e-05 code: 1.2733e-02 fc: 2.9491e-02 total: 6.6319e-05 | time: 0.041
I 06.28/02:22:59 solver.py:282 ] Epoch: [3/400][220/391] lr: 1.28e-05 | recon: 2.3795e-05 code: 1.2604e-02 fc: 2.9114e-02 total: 6.5514e-05 | time: 0.041
I 06.28/02:23:00 solver.py:282 ] Epoch: [3/400][240/391] lr: 1.31e-05 | recon: 2.3551e-05 code: 1.2487e-02 fc: 2.8791e-02 total: 6.4830e-05 | time: 0.041
I 06.28/02:23:01 solver.py:282 ] Epoch: [3/400][260/391] lr: 1.33e-05 | recon: 2.3323e-05 code: 1.2365e-02 fc: 2.8450e-02 total: 6.4138e-05 | time: 0.042
I 06.28/02:23:02 solver.py:282 ] Epoch: [3/400][280/391] lr: 1.36e-05 | recon: 2.3087e-05 code: 1.2255e-02 fc: 2.8145e-02 total: 6.3487e-05 | time: 0.045
I 06.28/02:23:04 solver.py:282 ] Epoch: [3/400][300/391] lr: 1.38e-05 | recon: 2.2798e-05 code: 1.2132e-02 fc: 2.7793e-02 total: 6.2723e-05 | time: 0.048
I 06.28/02:23:05 solver.py:282 ] Epoch: [3/400][320/391] lr: 1.41e-05 | recon: 2.2579e-05 code: 1.2012e-02 fc: 2.7456e-02 total: 6.2047e-05 | time: 0.047
I 06.28/02:23:06 solver.py:282 ] Epoch: [3/400][340/391] lr: 1.43e-05 | recon: 2.2346e-05 code: 1.1894e-02 fc: 2.7121e-02 total: 6.1361e-05 | time: 0.048
I 06.28/02:23:07 solver.py:282 ] Epoch: [3/400][360/391] lr: 1.46e-05 | recon: 2.2090e-05 code: 1.1776e-02 fc: 2.6787e-02 total: 6.0654e-05 | time: 0.047
I 06.28/02:23:08 solver.py:282 ] Epoch: [3/400][380/391] lr: 1.49e-05 | recon: 2.1830e-05 code: 1.1657e-02 fc: 2.6431e-02 total: 5.9919e-05 | time: 0.047
I 06.28/02:23:08 solver.py:318 ] => Train  Recon loss: 2.1733e-05 | Code loss: 1.1599e-02 | FC loss: 2.6261e-02 | Total: 5.9593e-05 | adapter/W1_norm=6.1552e+01 | adapter/W1_mean=2.4130e-05 | adapter/W1_std=6.0109e-02 | adapter/W2_norm=6.3013e-01 | adapter/W2_mean=5.3283e-04 | adapter/W2_std=3.0784e-04 | adapter/delta_ratio=7.5328e-01

I 06.28/02:23:09 solver.py:282 ] Epoch: [4/400][20/391] lr: 1.53e-05 | recon: 1.6564e-05 code: 9.2053e-03 fc: 1.9414e-02 total: 4.5183e-05 | time: 0.041
I 06.28/02:23:10 solver.py:282 ] Epoch: [4/400][40/391] lr: 1.55e-05 | recon: 1.6426e-05 code: 9.0440e-03 fc: 1.9023e-02 total: 4.4494e-05 | time: 0.037
I 06.28/02:23:11 solver.py:282 ] Epoch: [4/400][60/391] lr: 1.58e-05 | recon: 1.6259e-05 code: 8.9388e-03 fc: 1.8764e-02 total: 4.3961e-05 | time: 0.041
I 06.28/02:23:11 solver.py:282 ] Epoch: [4/400][80/391] lr: 1.60e-05 | recon: 1.6150e-05 code: 8.8358e-03 fc: 1.8522e-02 total: 4.3508e-05 | time: 0.037
I 06.28/02:23:12 solver.py:282 ] Epoch: [4/400][100/391] lr: 1.63e-05 | recon: 1.5996e-05 code: 8.7351e-03 fc: 1.8219e-02 total: 4.2950e-05 | time: 0.039
I 06.28/02:23:14 solver.py:282 ] Epoch: [4/400][120/391] lr: 1.65e-05 | recon: 1.5790e-05 code: 8.6484e-03 fc: 1.8001e-02 total: 4.2439e-05 | time: 0.045
I 06.28/02:23:14 solver.py:282 ] Epoch: [4/400][140/391] lr: 1.68e-05 | recon: 1.5561e-05 code: 8.5417e-03 fc: 1.7683e-02 total: 4.1785e-05 | time: 0.044
I 06.28/02:23:15 solver.py:282 ] Epoch: [4/400][160/391] lr: 1.70e-05 | recon: 1.5383e-05 code: 8.4216e-03 fc: 1.7316e-02 total: 4.1121e-05 | time: 0.045
I 06.28/02:23:16 solver.py:282 ] Epoch: [4/400][180/391] lr: 1.73e-05 | recon: 1.5162e-05 code: 8.3178e-03 fc: 1.7022e-02 total: 4.0502e-05 | time: 0.044
I 06.28/02:23:17 solver.py:282 ] Epoch: [4/400][200/391] lr: 1.76e-05 | recon: 1.5009e-05 code: 8.2150e-03 fc: 1.6730e-02 total: 3.9953e-05 | time: 0.042
